date,Hour,Load_Station1,Load_Station2
1402/07/20,1,28.144261,15.227198
1402/07/21,1,30.26577,16.81355
1402/07/22,1,22.536305,9.008333
1402/07/23,1,28.457564,15.396326
1402/07/24,1,29.73745,16.793507
1402/07/25,1,30.740027,17.143633
1402/07/26,1,30.014573,16.699197
1402/07/27,1,29.832657,16.522169
1402/07/28,1,29.752387,16.385695
1402/07/29,1,30.333985,17.04549
1402/07/30,1,29.799203,16.613339
1402/08/01,1,25.93008,12.800421
1402/08/02,1,30.581882,16.980601
1402/08/03,1,30.369214,17.129592
1402/08/04,1,30.17056,16.840523
1402/08/05,1,25.406907,11.900928
1402/08/06,1,29.355291,15.717355
1402/08/07,1,25.182269,11.732493
1402/08/08,1,25.411839,11.737249
1402/08/09,1,25.404907,11.891598
1402/08/10,1,23.513617,11.967434
1402/08/11,1,24.744952,11.490667
1402/08/12,1,23.52692,11.655733
1402/08/13,1,25.236636,11.684228
1402/08/14,1,25.330693,11.819827
1402/08/15,1,25.483309,11.823381
1402/08/16,1,24.851962,11.732077
1402/08/17,1,24.537936,11.491361
1402/08/18,1,29.438224,16.335445
1402/08/19,1,24.465281,11.386938
1402/08/20,1,26.228167,12.697752
1402/08/21,1,31.414358,17.703114
1402/08/22,1,28.029537,14.486903
1402/08/23,1,25.306145,11.753737
1402/08/24,1,25.627409,12.104324
1402/08/25,1,26.573482,12.984419
1402/08/26,1,31.576189,17.945584
1402/08/27,1,25.498018,11.769669
1402/08/28,1,31.529439,17.864623
1402/08/29,1,31.884951,18.100397
1402/08/30,1,31.506756,17.729533
1402/09/01,1,26.137773,12.355662
1402/09/02,1,31.123043,17.367813
1402/09/03,1,31.409745,17.781583
1402/09/04,1,29.316151,15.639118
1402/09/05,1,31.128002,17.463186
1402/09/06,1,30.99979,17.415615
1402/09/07,1,30.882528,17.923923
1402/09/08,1,30.889635,17.601139
1402/09/09,1,31.406782,18.074302
1402/09/10,1,24.329937,11.701223
1402/09/11,1,23.34224,10.691533
1402/09/12,1,22.093325,9.39619
1402/09/13,1,29.09378,16.452848
1402/09/14,1,30.16744,17.502072
1402/09/15,1,27.651792,15.223456
1402/09/16,1,28.880383,16.85036
1402/09/17,1,28.951828,17.136845
1402/09/18,1,29.770045,17.742465
1402/09/19,1,28.447445,16.524941
1402/09/20,1,29.411296,17.229768
1402/09/21,1,29.107269,17.174992
1402/09/22,1,29.136534,17.629449
